kind,task,machine_selectable,process_time
0,0,"(13, 7, 1, 10, 4, 2, 0)","(10, 16, 8, 17, 17, 20, 3)"
0,1,"(5, 8, 6, 4, 9, 1, 7, 0, 11)","(1, 20, 11, 11, 15, 6, 14, 18, 19)"
0,2,"(8, 12, 1, 3, 7, 0, 6, 4, 13)","(12, 16, 16, 9, 17, 19, 7, 8, 4)"
0,3,"(0, 4, 3, 2, 6, 1, 7, 12, 13, 9, 14, 11, 5, 10, 8)","(10, 12, 3, 8, 5, 10, 8, 20, 12, 14, 14, 20, 13, 1, 19)"
0,4,"(2, 9, 14, 12, 13, 0)","(12, 18, 3, 12, 4, 7)"
0,5,"(5, 7, 9, 1, 3, 4)","(20, 16, 9, 11, 2, 3)"
0,6,"(0, 4, 5, 3, 11, 9, 14, 8, 7, 12)","(18, 12, 14, 11, 10, 5, 11, 13, 5, 2)"
1,0,"(3,)","(17,)"
1,1,"(5, 14, 1, 4, 12, 2, 13, 6, 7, 10, 9, 0, 3)","(10, 20, 13, 3, 10, 3, 14, 18, 9, 17, 3, 16, 7)"
1,2,"(4, 7, 3)","(17, 2, 5)"
1,3,"(5,)","(4,)"
1,4,"(5,)","(17,)"
1,5,"(8,)","(14,)"
1,6,"(1, 4, 5, 0, 14, 13, 10, 8, 12)","(13, 3, 2, 1, 7, 16, 3, 14, 11)"
1,7,"(5, 0, 12, 9, 6, 3, 11, 7, 10)","(17, 8, 13, 12, 18, 8, 20, 14, 11)"
2,0,"(9, 1, 13, 3, 12, 14, 8, 11, 10, 4, 6, 2, 0, 7)","(14, 11, 18, 20, 4, 1, 3, 10, 18, 15, 14, 19, 4, 20)"
2,1,"(8, 12, 0, 13, 2, 11, 4, 9, 5, 14, 6, 3, 10, 7, 1)","(11, 9, 16, 7, 4, 7, 3, 7, 1, 6, 18, 20, 5, 3, 17)"
2,2,"(4, 0, 8, 13, 10, 6, 11, 2, 12)","(16, 2, 13, 10, 4, 18, 9, 6, 5)"
2,3,"(1, 13, 5, 0, 11, 6, 3, 8)","(20, 8, 17, 4, 4, 10, 11, 10)"
2,4,"(14, 8, 4, 6, 3, 1, 2, 9, 12)","(13, 13, 6, 3, 10, 8, 10, 8, 16)"
2,5,"(8, 12, 9, 6, 3, 10, 14, 4, 5, 1, 11, 13, 0)","(15, 2, 6, 6, 6, 7, 8, 5, 2, 12, 12, 8, 14)"
2,6,"(7, 5, 9, 2, 11, 0, 1, 14, 13, 12)","(8, 11, 2, 7, 18, 9, 8, 19, 6, 8)"
2,7,"(8, 2, 1, 12, 5, 11, 3, 10)","(6, 15, 9, 18, 16, 16, 3, 11)"
2,8,"(9, 10, 12, 0, 2, 13, 4, 11, 1, 6, 3, 14, 7, 8, 5)","(2, 8, 17, 3, 7, 9, 4, 18, 3, 12, 8, 13, 20, 11, 5)"
2,9,"(1, 2, 8, 10, 0, 7)","(6, 14, 19, 5, 19, 14)"
3,0,"(9, 7, 0, 11)","(4, 5, 12, 19)"
3,1,"(1, 0, 13, 6, 2, 5, 14, 7, 12, 3, 8)","(8, 13, 19, 10, 12, 20, 12, 15, 7, 3, 6)"
3,2,"(4, 10)","(12, 15)"
3,3,"(6,)","(5,)"
3,4,"(1, 9, 2, 14, 4, 5, 7, 10, 3, 11, 0, 12, 6, 13)","(12, 20, 7, 13, 13, 19, 1, 3, 2, 20, 14, 16, 7, 11)"
3,5,"(14, 7, 11, 12, 5, 8, 4, 1, 0, 13, 3, 6, 10, 9)","(11, 10, 19, 1, 8, 1, 20, 14, 6, 18, 3, 7, 12, 7)"
3,6,"(7, 9, 3, 12, 14, 5, 6, 10, 4, 2, 0)","(3, 4, 9, 16, 5, 6, 7, 2, 15, 9, 3)"
3,7,"(1, 3, 5, 4, 9, 0, 10, 6, 13, 8)","(16, 13, 18, 15, 13, 3, 14, 2, 13, 14)"
3,8,"(5, 3, 6)","(5, 14, 8)"
4,0,"(12,)","(5,)"
4,1,"(7, 14, 13, 4, 1, 6, 0, 9, 8, 2)","(15, 20, 9, 15, 12, 11, 2, 19, 19, 13)"
4,2,"(12, 10, 3, 0, 2, 6, 13, 8, 4, 7, 11, 5, 9, 14)","(11, 3, 11, 10, 1, 16, 15, 7, 19, 18, 12, 16, 19, 16)"
4,3,"(9, 12, 8, 14, 11, 7)","(18, 14, 9, 9, 1, 2)"
4,4,"(4, 7, 6)","(3, 6, 12)"
4,5,"(9, 11, 1, 4, 8, 7, 12, 10, 13, 2, 3, 6, 5)","(20, 16, 8, 10, 5, 14, 16, 20, 9, 9, 4, 15, 5)"
5,0,"(14, 5, 3, 9, 12, 13, 11, 2, 10, 4, 1, 0, 6)","(3, 19, 20, 8, 1, 20, 6, 11, 9, 10, 14, 2, 13)"
5,1,"(6, 2, 1, 10, 5, 12, 11, 14, 3, 4, 0)","(17, 9, 20, 12, 9, 5, 6, 15, 9, 1, 12)"
5,2,"(1, 3, 7, 5, 2, 11, 8, 12, 4, 9, 6, 0, 13, 14, 10)","(8, 5, 16, 20, 12, 14, 2, 17, 19, 12, 3, 2, 13, 4, 7)"
5,3,"(14, 2, 8, 9)","(17, 19, 5, 12)"
5,4,"(8, 6, 5, 4, 11, 0, 14, 10, 7, 1)","(19, 16, 5, 15, 18, 19, 18, 9, 2, 5)"
5,5,"(9, 2, 10, 0, 4)","(11, 12, 7, 16, 10)"
5,6,"(0, 4, 13, 1, 3, 5, 9)","(13, 15, 1, 8, 11, 20, 8)"
5,7,"(12,)","(11,)"
5,8,"(8, 3, 6, 14, 1, 7, 0, 9, 2, 4, 10)","(3, 14, 9, 1, 8, 13, 8, 12, 1, 17, 3)"
5,9,"(13,)","(1,)"
6,0,"(12, 4, 0, 7, 2)","(12, 6, 4, 18, 18)"
6,1,"(1, 13, 4, 8, 11, 7, 6)","(10, 7, 15, 8, 20, 16, 15)"
6,2,"(4, 9, 3, 11, 2, 12, 7)","(12, 14, 18, 1, 19, 19, 11)"
6,3,"(6, 12, 1, 11, 8, 4, 7, 14, 2, 13, 3, 10, 9, 5)","(17, 1, 18, 2, 2, 3, 20, 11, 4, 20, 10, 6, 19, 2)"
6,4,"(14, 8, 1, 12, 4, 0, 10)","(10, 19, 12, 9, 1, 4, 1)"
6,5,"(12, 7, 9)","(14, 18, 17)"
6,6,"(5, 3, 9, 1)","(18, 8, 16, 7)"
6,7,"(13, 0, 11, 3, 12, 6, 4, 8, 2, 5, 7, 9, 10, 1, 14)","(19, 1, 7, 17, 18, 9, 7, 18, 4, 7, 16, 14, 16, 14, 11)"
6,8,"(3, 7, 6, 5, 13, 10, 4, 0)","(12, 15, 14, 6, 3, 1, 10, 4)"
6,9,"(3, 9, 11, 12, 1, 5, 2, 4, 13, 6, 14, 8)","(3, 2, 14, 11, 2, 1, 1, 13, 15, 10, 15, 1)"
7,0,"(7, 8, 11, 2, 13, 10, 3, 4, 9)","(4, 3, 11, 3, 16, 6, 10, 6, 18)"
7,1,"(13, 0, 5, 8, 10, 1, 9, 11, 14, 12, 3)","(16, 1, 3, 19, 19, 11, 3, 9, 11, 6, 13)"
7,2,"(10, 13)","(14, 11)"
7,3,"(13, 6, 10, 5, 1, 14)","(13, 5, 11, 17, 15, 1)"
7,4,"(3, 6, 2, 5, 12, 10, 9)","(8, 3, 2, 12, 4, 19, 13)"
7,5,"(2, 6, 13, 10, 8, 1)","(11, 16, 1, 16, 10, 3)"
7,6,"(2, 11, 14, 6, 9, 10, 4, 1, 13)","(11, 20, 7, 1, 8, 18, 14, 15, 9)"
7,7,"(5, 7, 6)","(1, 13, 17)"
7,8,"(10, 1, 12, 3, 2, 6, 11, 5)","(14, 10, 4, 17, 10, 17, 10, 6)"
8,0,"(11, 6, 5, 10, 8, 7, 0, 13, 3, 2, 4, 12, 1, 14, 9)","(14, 10, 20, 7, 2, 1, 10, 6, 7, 16, 10, 5, 20, 19, 16)"
8,1,"(11,)","(13,)"
8,2,"(0, 1)","(17, 4)"
8,3,"(3, 7, 10)","(17, 5, 4)"
8,4,"(11, 9, 6, 10, 12, 0, 1)","(16, 3, 8, 10, 19, 7, 14)"
8,5,"(2, 11, 3, 14, 13, 6, 12, 7, 4, 8, 10, 0)","(14, 11, 7, 18, 18, 16, 18, 6, 19, 9, 19, 1)"
8,6,"(6, 2, 1, 8, 9, 5, 12, 4, 7, 13, 14, 0, 10)","(11, 7, 6, 18, 8, 11, 6, 6, 20, 15, 9, 14, 15)"
8,7,"(3, 7, 5, 10, 11, 8, 2, 9, 13, 12, 4, 1, 0)","(2, 2, 16, 20, 1, 20, 12, 6, 2, 14, 3, 10, 11)"
8,8,"(11, 7, 6, 14, 10, 4, 5, 0, 3, 2, 13)","(5, 7, 1, 19, 11, 9, 2, 20, 18, 15, 18)"
8,9,"(14, 4, 9, 13, 6, 7, 10, 12)","(1, 9, 18, 18, 8, 12, 1, 8)"
9,0,"(13, 3, 12, 8)","(3, 2, 15, 1)"
9,1,"(12, 10, 7, 0, 9, 6, 1, 13, 14, 3, 8, 11)","(19, 2, 8, 16, 7, 19, 3, 19, 20, 11, 10, 5)"
9,2,"(11, 12, 1, 2, 0, 8, 7, 5, 3, 10, 4, 14, 6)","(4, 12, 13, 8, 4, 10, 12, 4, 16, 2, 11, 11, 10)"
9,3,"(13, 5, 7, 8, 4, 3, 14, 10)","(1, 1, 1, 14, 3, 7, 17, 19)"
9,4,"(9, 2, 10, 13, 12, 11, 3, 8)","(13, 17, 11, 2, 9, 15, 14, 20)"
9,5,"(6, 4, 8, 12, 13, 1, 7)","(19, 6, 1, 2, 13, 19, 8)"
9,6,"(3, 9, 14, 10)","(7, 11, 16, 20)"
9,7,"(6,)","(14,)"
9,8,"(13, 12, 14, 0)","(13, 2, 9, 20)"
9,9,"(9, 1, 3, 6)","(17, 2, 9, 9)"
