kind,task,machine_selectable,process_time
0,0,"(6, 14, 5, 7, 0, 11, 13, 9)","(2, 13, 15, 17, 13, 5, 5, 9)"
0,1,"(10, 14, 12, 13, 6, 11, 7, 5, 3, 9, 2, 4, 1)","(2, 1, 2, 8, 17, 3, 2, 8, 3, 9, 15, 1, 7)"
0,2,"(5, 14, 1, 4, 6, 3, 10, 0, 11, 2, 9, 8)","(6, 14, 3, 1, 17, 16, 20, 15, 10, 8, 1, 1)"
0,3,"(13, 4, 8, 3, 5, 12, 1, 6, 2, 0, 10, 11, 9, 7)","(4, 2, 12, 16, 19, 8, 14, 4, 3, 4, 1, 11, 3, 15)"
0,4,"(0, 2, 10, 3, 13, 1, 14, 12, 5, 7, 9, 11, 6, 4, 8)","(14, 6, 1, 1, 18, 17, 20, 17, 15, 1, 5, 18, 11, 16, 3)"
0,5,"(10, 5, 4, 11, 2, 1, 14, 6, 9, 7, 12, 0, 13, 8, 3)","(19, 14, 8, 18, 13, 19, 6, 14, 5, 4, 5, 12, 10, 9, 15)"
0,6,"(0,)","(17,)"
0,7,"(9, 0, 1, 12, 6, 10, 3, 13, 7)","(3, 14, 3, 9, 4, 16, 7, 8, 2)"
0,8,"(1, 6, 7, 10, 12)","(11, 2, 2, 7, 8)"
1,0,"(2,)","(12,)"
1,1,"(7, 1)","(16, 14)"
1,2,"(2, 4, 0, 8, 14, 7, 12, 6)","(1, 19, 15, 10, 9, 7, 5, 5)"
1,3,"(2, 9, 4, 8, 6)","(16, 4, 8, 10, 13)"
1,4,"(14, 9, 13, 2, 3)","(13, 19, 7, 5, 6)"
1,5,"(13, 14, 3, 10, 5, 11, 1, 4, 9, 8)","(18, 4, 16, 7, 9, 1, 18, 19, 3, 12)"
2,0,"(3, 4, 12, 2, 8, 9, 5, 1, 13, 11, 14)","(14, 18, 4, 12, 7, 17, 9, 2, 14, 20, 16)"
2,1,"(12, 4, 14, 5, 2, 13, 1, 8, 6, 7)","(10, 9, 17, 19, 15, 14, 19, 15, 10, 19)"
2,2,"(0, 12, 1, 7, 9, 6, 5, 14, 3, 2, 10, 11, 13, 8)","(12, 13, 5, 18, 6, 12, 11, 2, 5, 1, 10, 10, 20, 1)"
2,3,"(0, 6, 13, 8, 3, 2, 5, 10)","(7, 2, 2, 20, 17, 16, 10, 13)"
2,4,"(8, 12, 9, 1, 10, 2, 7, 6, 11, 4, 3)","(12, 6, 13, 16, 4, 8, 8, 17, 2, 17, 20)"
3,0,"(12, 2, 14, 5, 10, 11, 8, 9, 4, 3, 0)","(5, 16, 5, 17, 18, 18, 13, 1, 4, 20, 4)"
3,1,"(0, 6, 4, 1, 14, 12, 3, 9)","(19, 18, 5, 18, 4, 19, 3, 6)"
3,2,"(3, 12, 4, 10, 14, 6, 0)","(1, 16, 14, 14, 7, 11, 20)"
3,3,"(6, 13, 11, 2)","(4, 2, 1, 4)"
3,4,"(14, 3, 13, 9, 5, 0, 6, 8, 1, 11, 12)","(7, 4, 19, 7, 16, 6, 18, 19, 17, 1, 16)"
3,5,"(5, 14, 1, 13, 10, 8, 2)","(14, 15, 4, 17, 10, 19, 18)"
3,6,"(13, 11, 2, 14, 7, 10, 1)","(3, 4, 10, 16, 9, 19, 3)"
3,7,"(8, 14, 2, 11, 4, 9, 10, 5, 12, 1, 0, 6, 3, 7)","(12, 5, 3, 12, 1, 10, 17, 3, 12, 18, 13, 19, 18, 9)"
4,0,"(0, 9, 12, 13, 4, 11, 3, 2, 1, 6)","(16, 15, 6, 14, 1, 15, 1, 19, 15, 7)"
4,1,"(10, 3, 2, 4, 13, 7, 1, 12, 9)","(11, 4, 15, 17, 5, 8, 6, 13, 2)"
4,2,"(1, 4)","(16, 11)"
4,3,"(4, 7, 1, 11, 12, 10)","(9, 20, 9, 2, 3, 1)"
4,4,"(10, 11, 9, 8, 2, 12, 5, 13, 6, 4, 0)","(14, 7, 14, 11, 10, 13, 16, 10, 18, 8, 16)"
4,5,"(13, 7, 4, 11, 12, 14, 6, 2, 8, 5, 9, 1, 3)","(12, 4, 11, 16, 11, 6, 18, 11, 18, 9, 13, 12, 3)"
4,6,"(2, 3, 7, 4)","(8, 10, 17, 3)"
4,7,"(2,)","(4,)"
4,8,"(7, 4)","(12, 7)"
4,9,"(13, 12, 4, 1, 5, 11, 3, 9, 2, 14, 0, 10, 6)","(1, 19, 11, 6, 2, 5, 7, 2, 11, 18, 20, 7, 7)"
5,0,"(6, 5, 14, 9, 0, 2)","(17, 9, 6, 15, 1, 1)"
5,1,"(10,)","(7,)"
5,2,"(1, 14, 10, 13, 7, 5, 9, 4, 8, 11, 6)","(1, 13, 2, 7, 1, 18, 6, 2, 9, 17, 9)"
5,3,"(14, 0, 6)","(1, 7, 9)"
5,4,"(4, 8, 12, 13, 3, 0, 2, 1, 5)","(8, 1, 1, 20, 3, 2, 4, 3, 20)"
